blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_YOH,crude_OKW,crude_Egina,crude_PAZ,crude_Nembe,crude_Utapate,crude_Okono,crude_SAB,crude_Buzios,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB01,35.7,1403.4,0.0,0.08333333333333333,0.0033333333333333335,0.02,0.0,0.09666666666666666,0.08666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.03,0.3333333333333333,0.008,0.045000000000000005,0.078,0.043333333333333335,0.048666666666666664,0.11033333333333334
CB02,36.0,1387.0,0.0,0.06999999999999999,0.004333333333333333,0.019666666666666666,0.0,0.10966666666666668,0.08533333333333333,0.013666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030666666666666665,0.0,0.0,0.3333333333333333,0.008,0.04566666666666667,0.07833333333333332,0.043333333333333335,0.048666666666666664,0.10933333333333334
CB03,36.0,1508.0,0.0,0.09956709956709957,0.004329004329004329,0.01998001998001998,0.0,0.10889110889110891,0.024642024642024644,0.014652014652014652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06127206127206128,0.0,0.0,0.3333333333333333,0.008658008658008658,0.04695304695304695,0.07725607725607726,0.040293040293040296,0.045288045288045295,0.1148851148851149
CB04,42.2,1008.0,0.0,0.0,0.0,0.121,0.0,0.06333333333333334,0.0,0.0,0.11499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.027,0.0,0.3333333333333333,0.008666666666666666,0.057999999999999996,0.09566666666666666,0.036,0.03766666666666667,0.09733333333333333
CB05,41.3,1052.7,0.0,0.0,0.0,0.119,0.0,0.14033333333333334,0.022000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043333333333333335,0.008666666666666666,0.0,0.0,0.3333333333333333,0.009,0.056,0.09466666666666666,0.03666666666666667,0.04,0.09699999999999999
CB06,42.0,810.0,0.0,0.0,0.0,0.017333333333333333,0.0,0.141,0.0,0.0029999999999999996,0.09733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.020666666666666667,0.0,0.0,0.3333333333333333,0.009333333333333334,0.059,0.09766666666666667,0.038,0.04033333333333333,0.08900000000000001
CB07,41.8,976.0,0.0,0.0036678892964321437,0.0,0.09536512170723574,0.0,0.0,0.020673557852617538,0.003001000333444481,0.09603201067022339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10270090030010003,0.011670556852284096,0.0,0.0,0.33344448149383127,0.007669223074358119,0.060020006668889625,0.09469823274424807,0.03567855951983995,0.04168056018672891,0.09369789929976659
CB07R,39.0,1480.0,0.0,0.02431712191872085,0.0,0.1558960692871419,0.0,0.0,0.041305796135909394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005662891405729514,0.0,0.06695536309127248,0.0006662225183211193,0.0076615589606928705,0.0313124583610926,0.3331112591605596,0.006995336442371752,0.05096602265156562,0.08694203864090606,0.03397734843437708,0.04197201865423051,0.11225849433710859
CB08,36.5,1371.0,0.0,0.11537179059686561,0.0,0.08669556518839613,0.0,0.009336445481827275,0.07835945315105035,0.0,0.029009669889963317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008669556518839612,0.0,0.003334444814938313,0.0010003334444814939,0.0020006668889629878,0.0,0.33311103701233746,0.008002667555851951,0.04334778259419807,0.08602867622540847,0.03967989329776592,0.049683227742580854,0.10636878959653218
CB09,36.7,1378.0,0.0,0.04734911637212404,0.0,0.07435811937312438,0.0,0.0006668889629876625,0.11303767922640881,0.001333777925975325,0.046682227409136384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012004001333777924,0.0,0.032010670223407804,0.0056685561853951315,0.0,0.0,0.33344448149383127,0.006668889629876626,0.044014671557185726,0.0863621207069023,0.04001333777925975,0.048016005335111696,0.10836945648549516
CB10,40.2,1056.6,0.0,0.07666666666666667,0.0,0.09433333333333332,0.0,0.08633333333333333,0.004666666666666667,0.0006666666666666666,0.044000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0036666666666666666,0.0013333333333333333,0.0,0.3336666666666666,0.009333333333333334,0.059666666666666666,0.08766666666666667,0.037333333333333336,0.045000000000000005,0.09466666666666666
CB11,39.5,1101.0,0.0,0.08597134288570477,0.0,0.0696434521826058,0.0,0.10129956681106297,0.009330223258913696,0.0,0.01732755748083972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03798733755414862,0.0006664445184938354,0.0013328890369876708,0.009996667777407531,0.33322225924691773,0.009663445518160615,0.05764745084971676,0.08597134288570477,0.037320893035654785,0.04598467177607465,0.09663445518160613
CB12,38.2,1369.0,0.0,0.06354515050167224,0.0,0.09698996655518394,0.0,0.06354515050167224,0.04013377926421404,0.0,0.0033444816053511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006688963210702341,0.0,0.033444816053511704,0.0,0.0,0.023411371237458196,0.33444816053511706,0.008361204013377926,0.05351170568561873,0.08260869565217391,0.03678929765886287,0.04414715719063545,0.10903010033444815
CB13,38.1,1358.9,0.0,0.06968989663221073,0.0,0.08769589863287762,0.0,0.06535511837279093,0.03967989329776592,0.0,0.0053351117039013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006002000666888962,0.0,0.034344781593864615,0.0006668889629876625,0.001333777925975325,0.02300766922307436,0.33344448149383127,0.008336112037345782,0.05301767255751917,0.08236078692897632,0.03701233744581527,0.04434811603867956,0.10836945648549516
CB14,38.5,1422.0,0.0,0.021985343104596936,0.0,0.11225849433710859,0.0,0.06295802798134577,0.04896735509660226,0.0,0.008327781479013991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076615589606928705,0.0,0.04197201865423051,0.000999333777481679,0.0,0.027981345769487007,0.3334443704197202,0.0076615589606928705,0.05396402398401066,0.08227848101265822,0.035976015989340436,0.04363757495003331,0.10992671552298468
CB15,39.5,1493.8,0.0,0.013986013986013986,0.004329004329004329,0.1635031635031635,0.0,0.03796203796203796,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04595404595404596,0.000666000666000666,0.00333000333000333,0.04628704628704629,0.33333333333333337,0.007659007659007659,0.06726606726606726,0.07159507159507159,0.033300033300033303,0.04029304029304029,0.11322011322011323
CB16,39.9,1387.0,0.0,0.017356475300400534,0.0043391188251001335,0.16421895861148197,0.0,0.10046728971962617,0.01034712950600801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006675567423230974,0.0033377837116154874,0.03170894526034713,0.33377837116154874,0.00834445927903872,0.06742323097463285,0.07409879839786382,0.03471295060080107,0.04072096128170895,0.10847797062750335
CB17,35.1,1737.3,0.0,0.020993002332555816,0.00433188937020993,0.12029323558813729,0.0,0.014661779406864379,0.057980673108963675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05098300566477841,0.007664111962679107,0.0,0.007330889703432189,0.0,0.0036654448517160947,0.04565144951682773,0.33322225924691773,0.005664778407197602,0.049983338887037654,0.06631122959013663,0.037320893035654785,0.05298233922025992,0.12095968010663112
CB18,34.1,1708.0,0.0,0.0674457429048414,0.004340567612687813,0.07612687813021703,0.0,0.013689482470784642,0.05776293823038397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050751252086811346,0.0076794657762938225,0.0,0.0073455759599332215,0.0,0.001669449081803005,0.04540901502504174,0.333889816360601,0.006010016694490817,0.047412353923205336,0.0657762938230384,0.038731218697829715,0.054757929883138566,0.12120200333889816
CB19,35.0,1724.0,0.0,0.11,0.0033333333333333335,0.06,0.0,0.023333333333333334,0.06999999999999999,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0033333333333333335,0.049999999999999996,0.3333333333333333,0.007333333333333333,0.050666666666666665,0.06733333333333334,0.038,0.04933333333333333,0.12066666666666666
CB20,33.6,1771.0,0.0,0.09327115256495672,0.0033311125916055968,0.05996002664890074,0.0,0.013324450366422387,0.06995336442371752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998001332445037,0.009993337774816789,0.0,0.0,0.0,0.0033311125916055968,0.049966688874083946,0.3334443704197202,0.0066622251832111935,0.04663557628247836,0.06562291805463026,0.03864090606262492,0.051299133910726186,0.1245836109260493
CB21,32.1,1637.5,0.0,0.13052208835341367,0.0,0.01673360107095047,0.0,0.006693440428380187,0.07028112449799197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07028112449799197,0.013386880856760375,0.0,0.0,0.0,0.0,0.02342704149933066,0.33433734939759036,0.006358768406961178,0.040829986613119144,0.06492637215528782,0.04216867469879518,0.056559571619812586,0.12349397590361445
CB22,35.5,1362.0,0.0,0.10326449033977347,0.0,0.10992671552298468,0.0,0.0,0.006662225183211192,0.0,0.009993337774816787,0.0,0.0,0.0,0.0,0.0,0.0,0.09660226515656228,0.0,0.0,0.006662225183211192,0.0,0.0,0.0,0.3334443704197202,0.006995336442371752,0.05129913391072618,0.06828780812791471,0.03997335109926715,0.05263157894736842,0.11425716189207195
Average,37.67391304347826,1369.6608695652174,0.0,0.057305634884968336,0.0015656485119090763,0.0852698569171221,0.0,0.05476870442585639,0.04238848378539018,0.001580145257389716,0.02068685580087271,0.0,0.0,0.0,0.0,0.0,0.0,0.012974587205172439,0.004146069207462925,0.0,0.02341224395123295,0.007306359722242359,0.0025804206955538497,0.019048723561560434,0.33348313303663324,0.007799249068584106,0.052536205621837896,0.08002203505313057,0.03801046665023704,0.04624461808324031,0.10887055855960337
Unnamed: 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 26,,2025-04-01 00:00:00,0.0,0.08603578113437516,0.002350585469899447,0.1280198493884125,0.0,0.08222696208592696,0.06363992512949986,0.0023723501501762938,0.031058198755060294,0.0,0.0,0.0,0.0,0.0,0.0,0.019479388847777827,0.006224698559178166,0.0,0.035149958647107474,0.010969398859530757,0.0038741130892787205,0.02859878988377661,0.49999999999999994,,,,,,
