date,Light_Diesel_to_DHT_Unit_Flowrate,Total_Kerosene_Product_Flowrate,Kerosene_to_Light_Diesel_DHT_Flowrate,Total_Atmospheric_Residue_Flowrate,Atm_Residue_to_RFCC_Unit_Flowrate,Atm_Residue_to_Storage_Flowrate,Total_Heavy_Diesel_Product_Flowrate,Total_Light_Diesel_Product_Flowrate,Crude_Column_Naphtha_to_SGCU_Flowrate,Heavy_Diesel_to_MHC_Flowrate,Atm_Residue_to_Storage_EE1027_Flowrate,Total_Stabilized_Naphtha_Product_Flowrate,Jet_Fuel_Product_Train1_Flowrate,Blend_Yield_RCO,Blend_Yield_Gas & LPG,Blend_Yield_Kerosene,Blend_Yield_Light Diesel,Blend_Yield_Heavy Diesel
2025-05-01,262.326501996528,527.339885278927,144.00638839189,964.685628198466,0.29296875,818.119982502891,425.439131472974,325.980223811969,557.556811725532,430.601179698353,58.4217519385344,756.863136831766,290.976095431663,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-02,252.904700952691,548.453957765891,144.016566847226,939.063818852849,0.29296875,791.374772036446,419.532723858217,320.804608597852,567.048420268826,440.885920952968,57.774755265054,761.770265298913,301.136406903073,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-03,249.185399120732,556.097814547598,144.042380734708,896.95594617273,0.335374966769748,754.317677152546,412.997238875541,305.562609562867,576.059162675781,430.72802829062,55.0912265942087,778.606231031125,309.365870685272,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-04,242.644018294813,531.71717552633,144.003203781022,827.996431435115,0.358151146104601,701.819514477534,401.53305284889,293.642868818596,558.268612873264,422.520965517805,51.2982896349977,754.401597549917,300.40980214174,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-05,243.214939762912,535.001490545978,144.00070767218,848.016558321874,0.264439627753364,721.948919407867,396.00397042114,290.42463882432,548.918997304145,416.638835746132,52.4213313999992,737.691928569959,296.236909736753,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-06,238.794772702185,537.136918099094,143.995430101394,834.186943786073,0.302773243204753,708.731692546658,395.457958782892,290.004282112872,562.951690057237,416.488311604363,51.7649088843919,760.29520946321,298.793465507877,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-07,170.934135145399,540.053718704232,143.997460148893,808.605561143187,0.459214734225803,683.028380761945,392.571058683558,295.573552769546,581.402396636013,290.264611556929,50.3788109957904,784.926995167829,304.1371946974,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-08,215.474885953053,539.499053149092,144.007837683381,785.138555514776,0.55293142191569,658.351441290961,391.197430450699,300.03006534911,600.441005940213,322.028721694278,48.6009576104688,788.98392274358,306.46108947748,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-09,264.294445261835,546.369030675037,144.015573748125,804.735569194081,0.406432422466969,680.469839356102,393.554450035982,291.984090916052,575.37343313945,414.932890087668,50.2138402733329,794.588739394676,308.630449690206,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-10,262.340479173177,554.277762745777,144.007377826824,768.286923356031,17.658055613539,626.166621301315,366.621928581452,289.897621051626,549.192049772678,386.384858133158,47.5614875143859,754.807416207974,314.980502823316,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-11,233.601230064381,471.507176446088,143.998923519446,771.883111664492,63.8964130289705,612.406975740289,305.169319552773,256.226409215941,499.093472958984,320.828641362754,36.9895236545816,687.659677896643,258.969631328847,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-12,254.533502464554,463.131070320387,143.993898691229,800.080436307371,225.002751029799,470.860348680872,326.815047174993,285.252145956191,514.032443889431,338.262209947822,39.2545242404898,709.395334499957,257.309616959804,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-13,265.525360170988,499.998440338027,143.995364180036,842.829912183914,335.720317638321,416.795799514068,388.646043329728,320.002165577702,569.765710711084,402.140870582232,30.9003659425207,791.156866056541,279.05055846556,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-14,296.147731396123,457.478594974871,144.029868221694,879.817466375824,489.37836489495,316.614403981527,395.906147616171,395.452600513255,612.574118420681,417.49762062296,18.8665591771055,832.443978401743,236.466899753766,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-15,296.36254269477,550.785588273938,143.997610309916,939.821689787601,596.4786792728,265.838938729112,414.989509459086,366.631183199184,671.229857559136,437.092181973927,19.4819593595588,920.569531934224,311.751874709195,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-16,292.838335063296,554.048416854257,144.005461012823,940.482080721387,678.445336926947,202.854152638753,391.383248176632,347.249604323516,676.809219527452,412.077679333755,12.0176436415415,928.968245624314,313.842104700593,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-17,296.275429575557,515.63636942718,143.994837560259,1010.86587584203,611.193539457533,332.490074695683,376.258242846489,341.577715654317,660.370222556966,395.739938893687,15.5755074931336,898.059202123741,290.346704610686,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-18,308.270448892325,503.149500620247,144.031852487856,1020.60803057371,628.529111491901,326.065732652633,377.816401960332,349.998221235738,651.917363350694,396.446542483159,14.8088443222435,877.779236872292,283.450800373791,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-19,319.339789803602,511.142158494303,144.021825476474,1024.81973771093,649.795537849595,313.379619170329,378.322676766992,357.102021095911,622.582573699002,396.016141305371,12.3223716243121,850.650624107573,288.776012362656,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-20,279.568917159831,521.810600549144,144.001762474464,1059.30478114502,705.791992113582,288.366993300826,416.897873490977,370.909677298999,660.044641912706,421.711152468587,17.8518424051538,898.881845215831,294.850300454909,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-21,124.803268482711,563.899008912034,144.039919374631,1147.9406462986,746.782405166627,329.605727973768,442.884234194666,388.405722835078,702.8545066097,190.025721444991,23.121899626707,931.742112815135,320.104542341057,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-22,229.218298828668,581.635564074235,144.016983672923,1144.87332539153,792.918530941434,270.429355320593,438.26338066374,375.713263999137,697.955561352268,430.482609261933,26.0345597601267,914.751185183205,330.622577443939,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-23,236.855276412037,560.029727778398,143.988491922279,1157.95534290413,688.146653338618,392.001977568359,445.463276295275,377.743345062631,700.690898031413,424.377099705914,24.0447863719112,960.594695140114,317.429277650521,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-24,236.855276412037,560.029727778398,143.988491922279,1157.95534290413,688.146653338618,392.001977568359,445.463276295275,377.743345062631,700.690898031413,424.377099705914,24.0447863719112,960.594695140114,317.429277650521,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-25,245.444681222512,571.248597697629,144.01204417516,942.7425861497,748.955546441989,144.573648162435,518.537960187909,405.618925245304,809.62886179796,434.425827949024,12.2259610355935,1061.51340052037,322.821623118364,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-26,248.677705783239,578.596016639902,143.997572528874,1017.58924688902,798.306022057088,158.545348360686,489.071258737316,391.691975690616,775.318902338325,431.674808634105,19.5847257887461,1022.38872936755,303.037464423357,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-27,247.387105670392,579.998583093085,143.990738373475,1061.07437962146,827.456341710401,175.001050714609,485.093621117097,393.35492911628,743.843106061469,421.235478820373,19.8219748049931,979.295019727358,331.317033980771,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-28,193.843710254991,555.579298928565,144.021959680097,1110.1155760079,681.430681127932,280.575504902525,498.651811774737,386.727817308509,716.795896861979,467.142502373079,46.5209876469632,934.778899019264,314.078044306172,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-29,193.472921882957,482.260283254611,144.051472980772,1395.48938364979,412.289033217367,765.246368610654,392.244317763499,373.653056390119,599.039324660916,383.580863648583,70.2114360302146,766.481223256412,270.161551222545,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-30,221.04523471462673,407.0943375579473,144.04194188027327,1361.2671949867604,458.2268317182769,678.8661908870422,507.2239190754821,411.50455903666,592.7867940478516,363.58212301493336,70.10045075451141,733.4342349572349,223.0175441895443,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
2025-05-31,221.04523471462673,407.0943375579473,144.04194188027327,1361.2671949867604,458.2268317182769,678.8661908870422,507.2239190754821,411.50455903666,592.7867940478516,363.58212301493336,70.10045075451141,733.4342349572349,223.0175441895443,0.326595619047619,0.01780408163265306,0.16043265306122448,0.09800816326530613,0.1149795918367347
